TRADING_NAME,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,latitude,longitude
Ampol Foodary Murdoch,10 Robson Way,MURDOCH,6150,South of River,Metro,-32.0634,115.8356
Ampol Foodary Nedlands,7 Broadway,NEDLANDS,6009,North of River,Metro,-31.9776,115.8136
Ampol Foodary Newman,Lot 1328 Newman Dr,NEWMAN,6753,Newman,Pilbara,-23.358,119.7277
Ampol Foodary Norseman,1 Princep St,NORSEMAN,6443,Norseman,Goldfields-Esperance,-32.1891,121.7784
Ampol Foodary North Road,204 North Rd,YAKAMIA,6330,Albany,Great Southern,-35.0054,117.8746
Ampol Foodary North Wanneroo,2624 Wanneroo Rd,NOWERGUP,6032,North of River,Metro,-31.6258,115.7188
Ampol Foodary North Yunderup,868 Pinjarra Rd,FURNISSDALE,6209,Murray,Peel,-32.5671,115.7984
Ampol Foodary Northlands,391 Wanneroo Rd,BALCATTA,6021,North of River,Metro,-31.8726,115.831
Ampol Foodary O'Connor,309 Stock Rd,O'CONNOR,6163,South of River,Metro,-32.0554,115.7932
Ampol Foodary Rivervale,111 Great Eastern Hwy,RIVERVALE,6103,South of River,Metro,-31.9535,115.9135
Ampol Foodary Rockingham,29 Dixon Rd,ROCKINGHAM,6168,South of River,Metro,-32.2768,115.7499
Ampol Foodary Scarborough,74 Scarborough Beach Rd,SCARBOROUGH,6019,North of River,Metro,-31.894,115.7646
Ampol Foodary Secret Harbour,420 Secret Harbour Bvd,SECRET HARBOUR,6173,South of River,Metro,-32.4072,115.7593
Ampol Foodary South Hedland,67 Hamilton Rd,SOUTH HEDLAND,6722,Port Hedland,Pilbara,-20.4015,118.5953
Ampol Foodary South Lake,2 Omeo St,SOUTH LAKE,6164,South of River,Metro,-32.1083,115.8293
Ampol Foodary Stratton,240 Toodyay Rd,STRATTON,6056,East/Hills,Metro,-31.8656,116.0327
Ampol Foodary Subiaco,194 Rokeby Rd,SUBIACO,6008,North of River,Metro,-31.9507,115.8243
Ampol Foodary Thornlie Square,316 Spencer Rd,THORNLIE,6108,South of River,Metro,-32.0558,115.9621
Ampol Foodary Wangara,79 Buckingham Dr,WANGARA,6065,North of River,Metro,-31.7882,115.8281
Ampol Foodary Warnbro,2 Bristol St,WARNBRO,6169,South of River,Metro,-32.3289,115.7588
Ampol Foodary Willetton,169 High Rd,WILLETTON,6155,South of River,Metro,-32.0391,115.8839
Ampol Foodary Williams,56 Albany Hwy,WILLIAMS,6391,Williams,Wheatbelt,-33.0235,116.8784
Ampol Foodary Yanchep,1 Morwell St,YANCHEP,6035,North of River,Metro,-31.5519,115.6395
Ampol Foodary Yangebup,289 Beeliar Dr,YANGEBUP,6164,South of River,Metro,-32.1274,115.799
Ampol Jurien Bay,22 Bashford St,JURIEN BAY,6516,Jurien,Wheatbelt,-30.3026,115.0421
Ampol Kalgoorlie Diesel Stop,2 Cunningham Rd,WEST KALGOORLIE,6430,Boulder,Goldfields-Esperance,-30.7807,121.4337
Ampol Karratha Diesel Stop,1540 Anderson Rd,KARRATHA INDUSTRIAL ESTATE,6714,Karratha,Pilbara,-20.7753,116.8689
Ampol Meckering Roadhouse,31 Dreyer St,MECKERING,6405,Meckering,Wheatbelt,-31.6324,117.0062
Ampol Narrogin,12 Clayton Rd,NARROGIN,6312,Narrogin,Wheatbelt,-32.9308,117.177
Ampol Newman Diesel Stop,131 Welsh Dr,NEWMAN,6753,Newman,Pilbara,-23.3692,119.7291
Ampol Picton Depot With Front,1 Wimbridge Rd,PICTON,6229,Bunbury,South-West,-33.3488,115.6993
